WKT,nama,deskripsi
"POLYGON ((106.8302012 -6.1787894, 106.8298579 -6.1776801, 106.8299437 -6.1734135, 106.8290854 -6.1730721, 106.8291712 -6.1717921, 106.8235064 -6.1717068, 106.8233347 -6.1799841, 106.8311453 -6.1799841, 106.8302012 -6.1787894))",Taman Monas,
"POLYGON ((106.8903371 -6.3014769, 106.8894145 -6.3015089, 106.8894252 -6.3026926, 106.8904122 -6.302682, 106.8904551 -6.3024793, 106.8902942 -6.3021061, 106.8903157 -6.3017542, 106.8904659 -6.3016475, 106.8903371 -6.3014769))",TMII,
"POLYGON ((106.8508146 -6.2335307, 106.8507717 -6.2343413, 106.8524025 -6.2354931, 106.85266 -6.2362184, 106.8518017 -6.2400152, 106.85266 -6.2418923, 106.853647 -6.2418496, 106.8529175 -6.2400152, 106.8535612 -6.2369436, 106.8532179 -6.2347252, 106.8528746 -6.2347252, 106.8526171 -6.2334027, 106.8508146 -6.2335307))",Tebet Echo Park,
"POLYGON ((106.8163266 -6.3050416, 106.8161764 -6.3057241, 106.8169704 -6.3070038, 106.8166056 -6.3078569, 106.8159404 -6.3081128, 106.8157044 -6.3094565, 106.8160906 -6.3105868, 106.8176356 -6.3103309, 106.8177428 -6.3147457, 106.8172708 -6.3150869, 106.8164983 -6.3151509, 106.8164339 -6.316068, 106.8175497 -6.3163239, 106.8180218 -6.3161746, 106.8191805 -6.3167291, 106.8190947 -6.3171557, 106.8202963 -6.3172837, 106.8205109 -6.3174756, 106.8236437 -6.3173476, 106.8237295 -6.3177102, 106.824781 -6.3177529, 106.8258109 -6.311248, 106.8265619 -6.3114186, 106.8270126 -6.3086887, 106.8245878 -6.3084114, 106.8246093 -6.3064066, 106.8230858 -6.3063426, 106.8225923 -6.3066838, 106.8205967 -6.3065985, 106.8205323 -6.3057667, 106.8163266 -6.3050416))",Kebun Binatang Ragunan,
"POLYGON ((106.7984095 -6.2147667, 106.7984095 -6.2206115, 106.8027869 -6.2223606, 106.8048039 -6.2247497, 106.808838 -6.222062, 106.8084517 -6.2212087, 106.8083659 -6.2159186, 106.8061343 -6.2155773, 106.8062201 -6.2128041, 106.7984095 -6.2147667))",Gelora Bung Karno,
