WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.845172 -6.211544)",11.0,0.0,Provinsi DKI Jakarta,31.0,1.0,-6.211544,106.845172,1.0
"POINT (106.614731 -5.7424495)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
"POINT (106.800008 -6.2606355)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.332973,106.807915,1.0
"POINT (106.845172 -6.211544)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.211544,106.845172,1.0
"POINT (106.800008 -6.1992023)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.211544,106.845172,1.0
"POINT (106.7697956 -6.1664973)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.211544,106.845172,1.0
"POINT (106.918111 -6.1419283)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.211544,106.845172,1.0
